Designator,Mid X,Mid Y,Rotation,Layer
GT95,424.16,-168.6525,0.0,top
GT96,71.735,-187.7025,0.0,top
GT97,109.835,-187.7025,0.0,top
GT98,152.6975,-187.7025,0.0,top
GT99,171.7475,-187.7025,0.0,top
NP1,72.635,-84.39,180.0,bottom
NP10,253.61,-84.39,180.0,bottom
NP100,191.6975,-179.64,0.0,bottom
NP101,215.51,-179.64,0.0,bottom
NP102,234.56,-179.64,0.0,bottom
NP103,253.61,-179.64,0.0,bottom
NP104,272.66,-179.64,0.0,bottom
NP105,291.71,-179.64,0.0,bottom
NP106,310.76,-179.64,0.0,bottom
NP107,329.81,-179.64,0.0,bottom
NP108,348.86,-179.64,0.0,bottom
NP109,367.91,-179.64,0.0,bottom
NP11,272.66,-84.39,180.0,bottom
NP110,386.96,-179.64,0.0,bottom
NP111,406.01,-179.64,0.0,bottom
NP112,425.06,-179.64,0.0,bottom
NP113,444.11,-179.64,0.0,bottom
NP12,291.71,-84.39,180.0,bottom
NP13,310.76,-84.39,180.0,bottom
NP14,329.81,-84.39,180.0,bottom
NP15,348.86,-84.39,180.0,bottom
NP16,367.91,-84.39,180.0,bottom
NP17,386.96,-84.39,180.0,bottom
NP18,406.01,-84.39,180.0,bottom
NP19,425.06,-84.39,180.0,bottom
NP2,91.685,-84.39,180.0,bottom
NP20,444.11,-84.39,180.0,bottom
NP21,72.635,-103.44,0.0,bottom
NP22,91.685,-103.44,0.0,bottom
NP23,110.735,-103.44,0.0,bottom
NP24,129.785,-103.44,0.0,bottom
NP25,153.5975,-103.44,0.0,bottom
NP26,172.6475,-103.44,0.0,bottom
NP27,191.6975,-103.44,0.0,bottom
NP28,215.51,-103.44,0.0,bottom
NP29,234.56,-103.44,0.0,bottom
NP3,110.735,-84.39,180.0,bottom
NP30,253.61,-103.44,0.0,bottom
NP31,272.66,-103.44,0.0,bottom
NP32,291.71,-103.44,0.0,bottom
NP33,310.76,-103.44,0.0,bottom
NP34,329.81,-103.44,0.0,bottom
NP35,348.86,-103.44,0.0,bottom
NP36,367.91,-103.44,0.0,bottom
NP37,386.96,-103.44,0.0,bottom
NP38,406.01,-103.44,0.0,bottom
NP39,425.06,-103.44,0.0,bottom
NP4,129.785,-84.39,180.0,bottom
NP40,444.11,-103.44,0.0,bottom
NP41,463.16,-103.44,0.0,bottom
NP42,72.635,-122.49,180.0,bottom
NP43,91.685,-122.49,180.0,bottom
NP44,110.735,-122.49,180.0,bottom
NP45,129.785,-122.49,180.0,bottom
NP46,153.5975,-122.49,180.0,bottom
NP47,172.6475,-122.49,180.0,bottom
NP48,191.6975,-122.49,180.0,bottom
NP49,215.51,-122.49,180.0,bottom
NP5,153.5975,-84.39,180.0,bottom
NP50,234.56,-122.49,180.0,bottom
NP51,253.61,-122.49,180.0,bottom
NP52,272.66,-122.49,180.0,bottom
NP53,291.71,-122.49,180.0,bottom
NP54,310.76,-122.49,180.0,bottom
NP55,329.81,-122.49,180.0,bottom
NP56,348.86,-122.49,180.0,bottom
NP57,367.91,-122.49,180.0,bottom
NP58,386.96,-122.49,180.0,bottom
NP59,406.01,-122.49,180.0,bottom
NP6,172.6475,-84.39,180.0,bottom
NP60,425.06,-122.49,180.0,bottom
NP61,444.11,-122.49,180.0,bottom
